Hour_of_Day,Day_of_Week,Month,Consumption_Pattern,Voltage,Energy_Consumption_kWh
3,3,8,0,224,43.91967242
23,1,7,0,216,78.98981007
13,6,8,2,229,49.69292732
5,1,1,1,232,32.80253479
20,7,2,0,227,69.73999247
1,7,2,1,214,22.05079857
9,6,1,0,226,80.46582695
20,1,6,0,223,75.35313271
3,4,8,0,221,51.66403799
20,6,2,2,223,33.01936956
1,7,12,1,230,67.25600785
6,2,2,2,231,49.17905554
9,6,11,2,227,42.20566298
15,5,4,2,222,10.98216992
23,3,3,1,222,56.6278182
19,7,6,1,228,66.17132138
3,7,9,1,228,54.39296045
8,2,6,0,236,74.42515674
16,1,6,2,225,99.86047934
13,5,4,2,233,53.45493514
9,4,4,1,225,40.39476073
12,5,4,0,215,98.81706223
22,3,3,0,230,29.1831963
4,3,7,0,213,29.01762046
22,7,4,0,226,97.66631467
13,4,8,2,235,53.00000759
19,4,9,0,231,67.06160909
5,4,7,0,221,95.63907094
3,3,4,2,217,31.02282797
20,1,2,1,220,22.21487959
5,2,5,2,227,66.48681708
2,5,12,1,219,49.36486338
21,6,9,2,225,68.43792603
23,5,5,2,222,38.2660554
3,3,10,2,226,28.50845064
2,5,10,0,224,51.65524158
13,7,4,0,226,35.99539962
17,4,6,2,215,99.61438374
22,5,4,1,228,25.48505466
15,6,10,1,221,43.97524161
16,4,4,2,219,18.39964936
11,2,7,1,235,75.27244571
2,6,9,0,230,95.56645244
13,6,3,2,227,64.95168366
4,2,10,1,213,52.09478661
23,4,11,2,223,79.44216712
3,2,9,2,229,12.69318664
6,3,12,1,216,71.93449545
12,4,5,1,230,31.35492215
8,2,9,0,223,11.75546436
9,7,10,2,226,91.12831662
3,5,12,0,220,78.45114771
14,2,10,0,220,86.28315982
16,1,8,1,228,63.54211287
6,7,8,1,228,81.40757037
2,7,4,2,234,66.57066317
4,1,5,2,225,28.10404871
16,5,7,0,221,87.34774765
0,6,2,0,216,61.78723283
6,3,10,1,221,82.38473561
10,3,2,0,230,74.02587526
16,4,2,1,227,46.08238436
11,6,4,1,235,98.39426374
13,3,1,2,233,97.40489126
19,4,1,2,219,35.99586576
16,7,5,1,222,17.92539821
6,6,2,1,234,95.11121226
8,6,8,0,226,95.36445142
10,2,12,2,221,36.82001203
5,2,3,1,217,27.61007692
2,7,7,1,226,76.75784775
10,5,1,2,219,20.49328109
23,7,9,0,225,46.74379094
15,2,4,0,214,10.84950974
12,3,10,2,234,28.72378713
10,6,9,1,229,26.09353027
21,7,6,1,228,29.52779775
8,5,7,1,228,56.82084901
9,1,8,2,222,60.46000764
0,1,10,1,233,84.78827816
20,3,7,1,219,68.31720617
23,5,9,2,219,55.60214382
15,1,5,1,215,31.61328419
21,2,8,2,223,88.84881269
8,4,4,1,230,41.92088992
4,3,3,2,225,79.49667486
19,4,2,1,219,38.66797521
21,2,11,0,229,24.70027534
10,5,1,1,229,64.97859348
20,7,4,2,235,22.49879655
8,2,8,2,223,86.26424774
9,6,1,1,217,87.4415857
15,5,5,1,222,42.50153299
8,7,11,0,237,51.268861
13,3,6,2,219,24.4230386
4,7,3,1,228,60.57422412
2,7,6,1,227,39.10775056
11,1,5,2,217,33.2417678
15,2,4,2,237,17.5898597
18,2,9,1,220,44.36708716
21,7,4,2,231,83.79716101
18,6,11,1,223,49.25884124
14,6,5,1,229,77.05192001
1,6,7,1,211,57.30929669
20,7,8,2,222,47.89884363
10,2,9,1,218,66.1519141
16,3,10,1,226,19.47389611
11,2,7,1,214,22.45632075
10,5,8,2,226,68.63662493
4,7,12,1,214,37.82571867
1,4,9,2,234,47.59813718
7,1,3,0,219,62.84123639
22,2,10,1,220,60.69587347
15,2,5,1,218,39.65812303
11,5,3,0,229,47.78956871
1,3,6,1,225,36.13325307
7,4,10,0,226,83.0917602
6,4,8,0,219,25.22909645
18,6,9,2,221,50.64166044
22,3,1,2,231,69.91539274
9,1,2,1,225,87.55867774
2,1,12,1,231,71.4828364
0,1,8,0,222,80.34413241
1,4,11,1,237,90.57777662
5,3,3,2,224,69.98033508
14,2,6,2,228,69.22876914
6,5,9,0,220,38.83377635
19,2,5,1,232,50.71949466
8,4,1,1,219,36.81639338
8,6,4,2,222,32.14589296
0,1,9,2,217,48.6016468
10,4,3,0,226,71.96537263
15,1,6,1,228,75.76517976
14,2,4,2,231,80.34812368
8,4,12,0,221,49.20609988
22,1,5,0,235,61.22344468
14,7,4,0,223,64.07714461
23,2,11,0,213,45.26649107
11,5,5,0,231,12.08990526
2,5,9,0,226,49.98879039
8,6,11,0,224,17.00769418
19,6,8,1,236,11.20200663
9,5,5,2,235,63.89699111
23,5,7,1,231,71.10860196
15,4,5,0,233,37.24523762
10,4,5,1,228,23.75717494
4,2,10,1,231,53.7327873
21,2,1,1,236,17.78924974
12,2,10,2,230,51.00611275
9,1,7,2,234,18.03757297
17,6,5,2,225,30.39605956
23,1,2,0,227,23.35852563
4,5,3,1,231,30.14903661
22,4,3,0,223,61.55567814
13,7,2,0,231,71.20385713
17,3,2,2,229,32.86600004
23,4,6,1,222,97.10661306
15,2,10,0,216,59.54009969
8,5,8,0,233,65.60273597
19,7,10,0,212,92.33611859
11,1,4,1,239,69.83625769
19,6,6,0,222,56.36958693
18,7,5,2,230,36.28730193
0,7,7,2,223,42.30579056
14,5,2,0,228,26.49837956
12,1,1,0,235,80.86848399
9,4,2,0,222,87.50998628
14,7,4,1,217,60.43986171
2,4,5,2,232,21.46461005
20,3,12,2,222,61.4445189
19,5,1,2,213,40.74739067
3,3,3,2,215,59.2766516
6,3,11,2,228,41.07425187
18,3,6,2,218,49.75588267
22,1,3,1,233,16.627145
2,7,5,1,220,75.06356167
1,7,2,1,225,24.52065518
10,7,6,1,218,66.19610261
4,2,12,2,233,82.87216593
5,5,9,2,230,38.36502013
7,4,9,1,222,39.55421724
9,1,6,1,216,55.21268109
4,7,2,1,223,69.01954356
4,5,7,1,222,64.4669274
5,4,8,2,222,40.39897221
13,6,10,2,225,77.27831606
7,2,6,2,221,31.29711772
7,2,12,0,221,56.25506025
3,4,3,1,232,37.47698382
12,3,8,1,221,75.67300516
19,6,9,2,227,24.06433437
3,2,3,1,225,32.28000892
11,1,2,2,219,19.62395216
14,2,9,2,218,21.44432191
6,6,9,0,230,66.48424172
13,1,11,1,226,22.48763403
0,7,6,2,214,15.6997083
14,7,9,2,217,69.46287435
22,5,7,2,216,68.41547458
10,1,11,2,228,83.73409885
10,4,10,1,216,72.50518936
18,1,7,0,224,66.92808101
5,5,5,0,214,52.51957991
10,5,7,1,231,17.50112166
23,1,10,1,231,57.78863763
12,2,7,1,220,34.84619838
21,4,9,2,232,81.16199642
15,6,6,2,228,91.75600758
7,2,3,0,217,91.21730199
20,5,7,2,232,16.01380375
6,2,4,1,227,95.63595548
4,4,1,1,234,41.55564322
16,2,5,2,218,68.10617401
13,3,6,2,221,44.33410139
14,5,3,0,224,12.93180061
8,3,4,1,234,76.81006546
7,6,11,2,212,62.78020832
16,4,10,1,220,39.77738087
15,1,5,2,219,51.7057704
7,6,8,1,219,49.2441025
11,1,12,1,223,48.774273
15,5,9,2,235,45.77311885
12,5,5,0,230,81.50686668
12,2,7,1,224,53.54208253
21,1,6,2,217,92.37588731
1,2,2,0,235,84.11297765
16,4,8,0,233,40.58747446
5,5,7,0,221,43.04377347
11,7,7,2,234,90.10730038
0,6,3,1,229,63.72841675
22,6,8,0,231,63.36898949
22,3,10,2,213,24.4876108
23,2,10,2,229,84.05501274
18,3,6,2,228,97.30671092
14,7,10,0,229,97.5845278
2,6,7,0,222,45.86564972
10,5,8,0,216,69.56293949
7,1,7,1,218,40.45453299
17,2,7,2,223,52.19069413
20,6,9,0,230,19.04813209
7,4,12,1,221,93.77268249
12,7,7,2,220,10.54592007
5,7,6,2,235,16.46782479
23,6,9,0,234,38.22954646
3,7,11,1,216,76.74599395
11,7,5,0,232,27.15466791
6,2,9,1,225,17.59965449
9,7,3,1,223,62.08581139
2,1,4,1,225,82.31537248
1,7,6,1,226,71.61232706
2,6,4,0,216,13.69381066
10,5,10,1,233,62.408875
0,5,5,1,219,40.1213708
17,7,6,1,221,74.10016433
9,3,9,1,226,74.0266625
23,4,7,2,219,96.62142545
9,5,9,0,215,26.41014922
8,1,10,0,225,15.17713859
19,2,1,2,228,26.48328137
4,7,4,1,223,59.70134519
3,5,2,2,232,87.873455
22,3,6,2,229,39.21331516
18,6,11,1,223,54.28525412
0,2,5,2,225,14.85945031
14,3,5,0,224,13.62290967
12,7,9,2,212,25.21067045
20,7,1,0,235,12.51741858
2,5,4,1,227,49.0279593
2,1,2,0,216,32.37828226
18,7,3,0,230,68.92146564
21,1,5,0,220,37.19801722
10,3,9,2,228,52.68032179
4,6,4,1,229,46.24304735
11,5,10,2,215,28.46026235
17,3,12,2,237,10.49755977
23,3,12,0,227,33.07892955
10,7,11,1,237,63.81912901
0,4,12,2,234,65.3695776
13,1,2,2,228,61.94988234
7,3,11,0,216,28.51347137
21,1,3,0,228,29.10287087
11,4,7,2,234,74.81914599
21,4,8,2,228,35.34409227
11,2,4,2,227,46.65963108
4,1,11,1,229,59.92595561
23,4,2,1,216,51.49678139
19,2,8,2,215,31.85423429
17,6,9,1,230,56.73455858
8,2,7,1,214,47.68610527
15,3,8,2,230,59.41626047
0,3,5,1,234,35.78968444
21,6,2,2,230,24.70801878
11,3,10,0,233,16.47858576
18,3,12,2,224,81.58813873
11,4,7,0,229,21.43048462
14,1,7,0,220,65.69586033
9,3,10,0,223,26.87708289
5,4,2,1,234,45.43658507
10,2,3,2,216,91.5752629
13,4,7,2,230,42.85295245
4,7,6,0,231,13.67411394
12,4,10,0,227,18.19711354
3,6,4,1,228,59.78245154
17,6,10,1,234,33.4545007
23,3,10,1,218,92.50632837
23,6,7,1,231,69.76590145
14,7,9,1,234,87.55010647
8,4,3,0,230,17.93182011
16,6,4,2,214,88.41050967
3,6,1,1,232,62.04106894
21,3,4,1,232,38.70072421
21,1,9,1,221,25.01084093
10,6,12,2,224,82.69277402
22,3,12,1,227,65.62881501
8,1,6,2,226,25.51650174
1,7,11,2,219,82.40842639
22,4,1,0,216,74.90647571
5,3,9,2,233,68.4524872
9,6,4,0,224,15.41687571
2,2,4,1,230,56.82836842
17,7,4,2,221,65.55980144
13,3,4,2,223,89.0153462
23,6,8,2,216,54.73410208
14,2,11,2,217,51.03209893
17,5,1,0,213,47.85312926
0,1,11,1,223,38.75343098
0,2,12,1,223,86.47225642
17,7,10,2,228,93.33062067
23,5,5,1,224,24.09596551
17,7,5,2,222,97.16334928
20,3,12,1,224,46.67244483
9,7,4,2,225,56.03169481
8,1,4,2,238,96.78318955
3,3,2,1,221,76.04470564
17,1,9,1,226,41.94154911
23,6,11,1,213,35.91551625
18,6,4,1,223,74.741111
18,1,8,2,211,58.43022159
8,3,9,1,219,94.98332158
11,5,8,2,216,84.85101485
19,5,10,2,231,76.30299579
10,3,2,1,237,26.5982466
7,1,9,0,215,12.80991362
7,3,11,0,221,16.65071811
20,4,4,2,228,47.92543296
8,7,11,2,224,25.1708777
3,1,12,2,228,61.64047551
14,6,3,1,234,26.34095446
21,2,4,2,218,64.77455888
17,4,6,1,227,22.92077457
2,3,5,2,234,73.33768786
23,4,5,2,224,25.12645084
18,5,10,0,233,69.13539479
4,1,1,1,234,79.87448067
23,7,11,2,237,42.10209069
13,7,5,1,216,16.32432479
8,5,4,2,230,46.98405989
11,6,3,2,222,60.71587337
9,1,9,2,226,64.75572
13,6,1,2,234,17.19113532
2,2,3,2,227,69.49136509
6,6,3,1,230,73.9432461
12,2,2,2,231,70.04728222
6,3,2,2,231,45.01720931
7,2,6,1,227,31.0855407
12,7,2,2,238,25.38945817
7,3,8,1,223,31.69931349
20,6,9,0,218,25.23807722
8,5,3,2,235,55.57723781
18,7,3,2,230,70.85349912
0,1,11,1,230,61.76253303
2,7,2,0,228,76.29734991
3,6,7,1,232,53.07375952
4,3,5,0,215,26.1939945
7,3,9,2,221,61.05571412
7,5,1,1,220,21.74904413
21,1,8,0,214,92.95111405
17,2,9,1,214,20.34199314
4,2,4,2,214,52.42917838
21,7,12,0,225,81.01759974
17,5,11,1,225,88.61511934
3,2,2,0,228,12.77547455
19,7,3,2,221,21.7763912
2,1,5,0,226,40.71816871
5,2,8,1,229,48.39304535
15,5,5,1,233,13.95753729
9,7,4,1,229,74.20231502
0,2,12,0,222,63.8673533
13,4,5,1,235,90.58382711
8,3,5,0,227,14.45315746
9,6,8,0,234,41.08218552
22,3,9,0,223,66.39612715
7,3,10,1,229,52.89328678
17,2,5,0,226,88.05586264
18,7,3,2,221,66.28327078
16,1,10,1,217,53.41656419
2,6,7,2,226,54.46907155
4,4,6,1,222,73.07173284
4,2,10,1,223,10.44787612
0,4,10,1,221,47.21228707
3,6,6,1,237,25.40690175
2,6,7,1,230,42.54895189
4,1,4,1,230,57.78424838
4,4,2,0,227,15.47006392
3,7,9,2,227,58.04285808
5,4,2,1,219,52.54628237
5,6,6,0,224,58.39288729
11,2,7,2,226,92.86556964
7,7,2,1,233,92.64725812
12,2,6,2,226,25.99853495
20,3,6,2,227,40.72632344
20,7,1,0,218,74.77433297
15,3,4,2,224,94.1061692
23,7,4,1,224,88.48397035
6,6,5,2,213,34.94932904
3,7,8,1,221,27.21103261
9,4,9,2,218,57.92361244
8,4,1,2,224,66.21111162
6,7,10,2,229,15.1314845
11,3,1,1,235,14.14358349
16,3,9,0,213,96.61292168
0,4,2,0,233,75.80505713
22,3,11,1,222,90.14321997
2,2,5,1,220,37.98638193
10,3,7,1,218,84.31842476
4,2,8,2,225,87.1414675
4,4,3,2,228,25.92131255
20,2,5,1,236,58.27354442
13,2,7,0,226,88.52431958
4,7,8,1,213,24.35661522
1,6,4,0,216,65.25215805
16,3,1,1,221,49.36908984
3,1,1,1,229,31.66820836
21,2,8,0,217,71.25240826
21,1,4,2,232,90.89755691
19,1,3,1,232,57.23899502
18,4,3,1,223,91.24339738
23,4,1,2,218,72.32504283
13,2,10,1,238,90.53945919
1,3,9,2,220,11.57429495
18,7,8,1,233,40.34144503
22,2,7,2,224,60.22545068
6,2,4,0,216,68.94256268
14,7,12,2,235,33.73962924
5,1,10,2,228,22.62175441
0,6,7,2,222,31.53557647
6,4,11,2,230,20.07137524
22,6,12,2,220,58.19382863
5,4,4,1,236,31.02097642
15,1,4,0,228,15.52927179
13,6,4,0,228,35.45766602
1,5,12,2,225,78.61818592
19,5,8,1,214,90.3973387
15,4,11,2,224,92.53801707
8,7,3,2,226,53.42836519
0,6,8,2,222,58.88947404
22,6,2,1,219,20.55082327
10,7,5,0,223,61.26825948
12,7,10,1,228,92.4587734
7,5,8,1,226,37.84041115
23,5,1,1,233,26.40253949
10,5,1,2,225,74.62682312
2,1,6,2,222,80.93898395
5,7,7,0,223,98.47040605
19,4,1,1,219,22.4868402
22,7,3,2,229,77.99816819
10,1,1,1,231,94.02167201
11,6,1,2,229,96.2924958
5,4,8,0,216,31.64871312
2,6,9,0,215,52.10674021
13,1,3,1,232,75.59249969
4,7,10,1,235,96.71581375
14,2,9,1,225,79.13375871
23,7,1,2,224,57.92479931
13,6,12,2,230,62.26186966
14,3,6,1,235,95.29457644
20,2,6,1,232,70.8462315
11,4,7,2,230,82.6748048
1,5,10,2,225,53.43671632
7,3,10,0,218,45.31331785
0,7,4,2,231,55.49845548
1,2,12,1,239,51.91906806
17,3,10,2,233,30.08354808
9,6,7,1,233,90.32432637
14,6,9,1,222,74.00379569
11,3,3,2,219,73.15496855
1,7,4,2,213,13.25558405
21,2,10,2,234,16.97833393
4,1,4,2,218,58.99144916
20,6,3,2,226,74.26693705
3,6,8,2,232,56.86200211
8,5,12,1,232,43.74610999
21,4,4,1,230,81.30539423
17,3,12,0,232,30.1031222
17,7,11,2,228,61.06254134
12,3,5,2,233,43.18664678
16,3,7,2,227,66.86697897
15,6,3,0,217,57.86010442
16,2,8,1,224,26.48358515
5,1,6,0,231,80.61402146
9,1,1,0,228,27.00162864
2,5,11,0,224,19.36905833
1,5,8,0,223,96.15207056
4,2,4,2,237,20.54023546
7,7,5,0,236,53.45775602
11,3,4,1,232,58.28543086
17,5,8,0,230,41.63965563
19,3,10,2,231,96.82245092
12,7,8,2,234,99.53112916
0,7,1,2,230,87.18775238
18,5,12,1,225,26.21077283
6,5,8,2,235,65.55872493
6,5,5,1,223,52.333146
11,3,5,2,231,77.4044132
15,3,1,2,237,79.96246938
18,6,4,1,225,59.84672925
12,2,5,1,225,26.82156432
15,7,5,0,236,51.79442529
12,7,4,2,228,41.67407596
8,4,12,0,232,10.42015044
13,1,4,1,224,90.67182871
1,4,11,2,218,29.27894938
5,7,10,2,234,59.4322188
6,5,2,1,234,26.92788884
4,1,3,2,220,34.42866976
9,1,5,1,225,60.9683562
13,1,4,2,229,55.71744491
7,1,4,0,233,52.30354403
8,5,10,0,221,25.4663715
6,7,10,0,228,29.1614431
3,5,7,0,227,33.10563197
16,2,9,1,227,94.12378119
12,2,1,2,230,38.97599743
4,6,7,0,232,90.32450962
13,2,1,0,224,11.79274023
8,6,2,2,232,53.49959945
16,2,4,0,228,23.950725
0,2,2,1,216,15.79173538
11,4,1,2,220,40.24906956
2,7,10,0,226,90.95709243
9,6,8,2,219,29.4893036
23,6,6,2,226,77.9807273
0,4,8,2,222,58.76630267
3,3,11,1,214,41.20244494
3,7,5,0,228,46.43407653
14,1,5,2,223,74.23228284
12,2,10,1,229,65.53057643
14,5,4,1,220,99.50052449
11,7,6,1,222,17.57524416
20,7,4,2,228,60.2407101
17,2,9,0,239,88.75355042
12,4,8,1,229,50.89390117
4,5,10,2,222,18.87222735
4,1,7,0,229,51.86593905
21,3,7,0,232,35.68549726
20,2,10,2,215,83.77892171
14,4,9,2,220,63.71162765
9,4,2,2,227,30.70401804
4,2,7,1,227,65.10224588
22,1,5,1,225,13.20237563
5,5,4,2,212,16.20777123
2,3,3,1,226,56.5300937
2,3,2,0,211,14.12735313
0,3,9,1,226,76.63682939
6,1,11,1,237,57.36394376
16,5,1,2,231,80.10047968
21,5,10,0,227,47.75984726
0,1,10,0,221,28.92004166
8,4,10,0,227,68.39583145
14,6,7,0,216,36.33433261
7,7,8,1,233,25.89131304
10,5,9,0,220,94.52442705
3,6,6,2,233,31.30785173
14,4,8,0,236,93.25955706
15,4,2,0,220,83.2443822
18,7,11,2,222,92.96439708
6,7,10,0,222,72.79345821
4,3,7,2,237,93.41836467
16,3,12,1,232,86.49309876
17,7,1,2,218,88.10580245
4,4,3,1,219,69.26159069
11,1,6,2,217,32.72113694
19,4,3,1,234,57.55817972
13,1,3,2,217,95.38983046
12,1,2,1,226,22.90822356
6,1,12,1,219,90.72530286
17,1,1,2,225,50.23362416
11,5,7,0,229,33.85210662
13,4,12,0,232,20.387639
0,4,6,0,221,13.21927529
0,2,6,2,231,63.53292437
3,3,9,2,214,60.22339704
14,4,1,1,225,77.18417705
11,1,3,2,222,49.53485977
13,7,3,2,232,29.1250835
2,3,11,1,221,35.79727727
10,4,12,1,218,26.96203824
19,4,10,1,219,98.42886374
9,5,7,1,220,46.3007319
7,3,3,1,220,95.76997172
20,3,11,0,221,81.2448915
23,3,7,1,236,25.99770107
18,1,5,2,235,18.80931784
5,3,7,1,231,78.90472102
15,5,2,0,228,21.93013312
18,5,4,0,218,76.26714903
18,7,12,2,229,34.08416253
14,7,11,1,226,69.19436619
10,1,4,0,232,93.8285622
9,1,5,2,227,69.5376161
3,4,6,0,212,74.65110876
1,2,8,1,235,62.40407276
15,5,6,1,216,18.05421532
10,2,4,0,216,60.31930495
15,3,2,2,233,18.88632396
19,6,1,2,225,96.87596823
16,5,9,2,221,36.47985362
13,2,6,2,234,14.34978143
23,7,4,1,226,59.03826147
22,5,7,2,215,58.85249476
18,2,8,2,224,87.5427454
1,1,1,2,231,37.4503988
23,3,7,0,229,35.54713921
3,7,5,2,215,54.13375633
23,5,12,2,221,10.79649371
9,7,6,2,226,80.62222802
3,1,5,0,220,82.60989752
2,4,1,1,224,81.167606
0,2,10,2,235,62.74019103
5,2,1,2,230,17.96098964
2,5,6,0,224,80.77567552
14,4,1,0,237,20.5826893
16,6,12,2,222,67.55106129
21,1,6,2,226,27.64756664
7,4,8,1,220,59.64565212
22,3,8,2,230,75.34058524
0,4,6,1,217,48.3290955
3,2,3,0,226,19.34203312
6,1,8,1,218,29.16428701
8,3,3,1,232,74.8603405
7,7,7,1,216,34.63554396
19,4,6,1,222,34.6648951
3,2,4,2,232,89.73663025
16,2,8,2,220,84.82634747
15,6,3,0,224,86.51075805
20,5,11,1,223,81.20913951
16,2,9,2,212,86.92797923
17,6,8,0,220,13.36908282
19,3,2,1,231,84.3436686
23,5,11,2,214,62.83747144
9,1,2,2,226,11.36516245
22,2,11,0,230,41.5429326
0,4,4,1,233,67.92326177
23,4,11,2,215,66.23906544
0,1,4,0,231,37.09925077
13,1,10,2,230,21.37737143
2,7,11,1,213,84.38460321
20,6,7,0,230,95.41451694
10,6,2,0,220,24.74431998
16,5,4,0,223,21.067259
19,4,9,2,220,19.21615056
9,1,4,1,234,39.78638164
13,5,5,0,235,84.21873514
22,2,6,1,222,76.17565988
8,2,8,0,230,71.32938702
2,3,1,1,230,81.91609002
20,1,10,1,231,48.03573469
19,2,5,0,220,29.37179048
4,1,5,2,213,59.27822685
18,4,6,1,225,52.22586036
14,3,3,2,219,91.53033856
7,1,1,0,232,23.02585232
6,6,2,1,237,47.78278832
18,2,6,2,231,79.6970839
18,5,6,0,223,35.3294494
16,1,2,0,228,26.06796335
21,2,11,0,230,83.18508812
15,6,10,1,235,76.88089962
12,2,11,1,226,17.13535455
23,2,3,2,220,49.86679426
21,3,1,1,236,55.16464406
23,1,9,2,223,15.81254474
7,4,6,1,222,18.27914663
2,4,2,1,222,69.61664114
23,4,5,2,231,29.77339711
12,3,9,1,224,89.3113351
6,3,8,2,223,36.5330855
6,4,9,1,218,59.28837675
17,1,10,1,228,67.86048641
11,7,1,2,232,56.84813421
16,5,8,1,225,72.92465669
23,3,3,0,229,30.62808247
8,1,12,1,225,25.93719626
16,1,1,2,234,94.84040903
9,3,4,2,229,42.72216313
13,6,5,0,214,12.98714872
4,1,8,1,221,34.58785021
12,4,2,1,218,32.83955049
5,1,9,2,229,97.05269796
0,3,5,1,215,65.26992433
14,6,10,1,235,59.06050766
9,2,6,0,215,58.9119599
18,4,11,2,235,75.8115852
11,6,5,1,225,66.36871325
2,7,6,2,221,24.58061818
23,6,11,1,219,53.89361702
18,6,7,1,221,34.2391997
23,1,4,2,223,19.20698539
0,5,5,1,238,20.99548822
20,2,8,2,236,98.03736086
6,6,9,2,226,59.74456188
14,3,10,2,226,34.8561595
16,5,4,2,231,79.15856468
13,5,4,1,222,37.50928704
17,7,7,0,233,59.84016989
15,5,11,2,218,58.00235781
6,7,6,2,217,73.77746013
14,4,1,1,227,74.47731602
14,1,7,1,229,87.08613335
19,6,11,0,229,17.57293051
21,1,11,2,218,97.39026784
1,1,4,1,219,39.95025666
4,3,7,1,228,47.36377748
10,5,9,0,225,38.78392281
18,7,9,2,228,64.87136527
20,6,4,2,231,89.34820641
20,7,11,1,228,36.92613703
0,1,11,0,218,73.0910796
5,1,4,0,221,71.70879319
7,3,5,1,230,58.59127692
9,6,12,1,231,72.96027802
5,6,1,2,212,53.41763681
21,5,10,0,223,26.45811541
9,3,7,1,226,74.14687728
3,2,8,2,217,38.01989514
0,2,3,2,227,32.70638895
17,5,8,1,220,71.41399962
19,1,1,1,230,86.43196453
16,7,9,1,225,16.56694304
0,2,9,1,228,51.491881
1,7,6,2,220,18.5483695
10,4,10,1,226,65.22942717
20,1,7,2,220,75.94682958
16,6,7,2,218,55.43990109
15,1,8,2,232,62.22400723
19,4,4,1,220,97.52575703
10,1,2,1,222,31.55919639
11,5,7,1,217,88.62921547
18,1,6,2,236,77.68964465
8,4,6,1,228,13.29549515
0,6,3,0,226,29.63997944
23,2,6,1,238,37.26133601
9,5,9,1,217,85.99427032
12,1,10,1,226,89.12114239
5,1,10,2,232,31.02928693
8,2,11,2,220,44.54004448
18,5,4,1,231,78.71225877
0,3,9,0,226,96.42273742
21,7,4,0,219,14.97404455
17,2,12,1,229,50.65406996
0,7,1,2,218,70.19960541
9,2,8,1,226,69.28738808
4,4,2,0,222,74.45801159
6,3,6,1,224,17.57911438
12,5,8,0,223,83.91861589
2,7,9,1,228,32.06901672
6,4,8,1,222,86.16245764
4,7,10,2,229,46.27748633
11,7,8,0,226,63.18649684
2,7,6,2,217,54.9499331
9,1,10,0,219,53.13633286
10,2,1,0,220,65.03646047
5,5,8,1,221,94.30067611
4,5,8,2,222,40.94462522
12,2,4,2,219,75.27767001
22,4,3,1,226,81.42103505
5,1,6,0,221,32.81675254
2,3,4,2,218,68.08023245
23,6,3,1,220,96.74703231
7,5,8,2,230,55.61731574
17,1,7,1,235,53.75807512
22,5,2,0,233,46.92145566
1,6,10,0,228,94.15239437
22,6,4,2,217,14.91265802
3,7,8,1,228,66.01689938
21,4,1,0,212,21.54481351
13,5,5,1,221,34.30304552
14,6,1,0,234,67.81019044
0,1,10,2,221,40.43694222
17,7,8,2,229,69.08066675
20,2,7,1,226,22.42503788
15,5,5,1,219,93.5918723
12,7,6,1,215,63.63850358
10,7,7,2,214,23.90159974
0,5,9,1,228,14.63734328
7,7,12,1,228,60.23042949
20,4,12,2,219,21.37279794
11,7,2,1,239,34.27900276
12,2,4,1,225,49.30639472
6,3,12,2,215,81.57696055
20,3,8,0,231,59.68104971
1,1,8,2,223,83.63741727
2,1,11,1,232,76.16985025
2,2,3,0,219,98.1666602
12,1,2,2,221,13.40452084
3,2,6,0,214,20.96132415
15,6,8,1,213,86.58188549
1,6,12,1,229,90.50521414
5,4,11,2,230,36.27304394
20,2,6,2,227,10.14388538
6,3,5,0,223,57.53661144
8,7,11,1,220,25.78769297
20,3,4,0,237,25.42396455
14,5,10,2,230,41.54464249
20,6,9,2,227,97.95158015
4,4,6,0,223,65.5913276
10,2,2,0,221,77.23632817
7,2,3,2,226,92.88393421
3,4,8,1,216,82.08915738
10,7,2,2,225,95.1151773
20,5,3,0,236,59.4320158
13,5,1,1,227,34.21633958
6,7,6,1,217,48.98493465
3,7,2,2,220,79.72617396
18,3,6,2,226,60.4112637
7,5,2,1,229,54.27872349
7,1,6,2,223,39.96896283
0,1,12,0,231,18.2391678
13,5,5,2,221,69.60379597
10,2,3,1,228,99.42666254
23,2,10,1,222,55.17661625
22,3,9,1,234,94.53614904
6,4,9,1,234,14.15357115
16,4,9,0,225,62.03667176
3,5,11,2,223,39.84411414
17,4,12,2,222,56.66663607
21,1,9,0,233,26.91516134
7,2,11,1,216,44.61700064
10,5,3,2,224,42.48591855
0,6,2,2,229,38.55349718
11,1,8,2,222,32.39403734
2,4,10,2,225,64.07308306
3,1,6,2,219,54.21445882
4,4,5,1,218,87.72291951
8,7,1,1,220,57.32984524
14,4,8,2,212,21.31578572
11,7,5,2,223,16.90120943
3,2,10,1,216,12.76371198
8,7,10,1,225,76.62522365
2,6,4,2,225,43.27232642
12,3,4,0,220,13.59173318
14,5,4,2,236,96.28201918
1,7,9,2,234,80.73037788
2,4,5,2,221,56.26581214
18,3,12,1,216,81.83000412
17,5,3,2,230,95.06829328
5,4,3,2,233,57.93391664
22,7,10,2,220,94.93680969
11,5,9,1,222,87.03861099
13,5,12,0,218,73.83445353
10,1,3,0,228,33.25488006
19,6,2,1,225,69.21845645
0,1,12,2,222,61.59232326
11,3,7,0,216,81.3495319
8,7,1,0,220,56.01978669
2,4,5,0,233,96.65682838
23,6,11,1,232,80.49121966
13,5,5,1,222,74.61126143
10,3,6,0,232,59.71433476
19,2,6,0,214,83.99000471
0,6,9,1,237,98.94949394
3,1,3,0,224,66.35611427
