Hour_of_Day,Day_of_Week,Month,Consumption_Pattern,Voltage,Line_Voltage,Apparent_Power,Energy_Consumption_kWh,Television,Dryer,Oven,Microwave,Refrigerator,Datetime,Transaction_ID
21,2,11,0,229,229,1553,24.70027534,1,0,1,0,0,11/2/2021 21:43,23011
10,5,1,1,229,234,1866,64.97859348,1,0,0,0,1,1/21/2022 10:02,25734
20,7,4,2,235,238,1968,22.49879655,1,0,0,1,0,4/5/2020 20:46,3284
8,2,8,2,223,225,1525,86.26424774,0,1,0,1,0,8/8/2023 8:10,45046
9,6,1,1,217,224,1887,87.4415857,0,1,1,1,1,1/11/2020 9:29,357
15,5,5,1,222,228,1756,42.50153299,0,0,1,1,0,5/29/2020 15:40,5126
8,7,11,0,237,237,1712,51.268861,1,1,1,0,0,11/5/2023 8:14,48094
13,3,6,2,219,228,1725,24.4230386,0,1,0,1,0,6/15/2022 13:05,30704
4,7,3,1,228,230,1843,60.57422412,0,1,1,1,1,3/22/2020 4:57,2782
2,7,6,1,227,227,1577,39.10775056,0,0,1,0,1,6/20/2021 2:14,18360
11,1,5,2,217,223,1769,33.2417678,0,0,0,1,0,5/22/2023 11:47,42380
15,2,4,2,237,238,1933,17.5898597,0,0,0,1,0,4/4/2023 15:51,40742
18,2,9,1,220,229,1631,44.36708716,0,0,1,1,1,9/27/2022 18:59,34274
21,7,4,2,231,232,1541,83.79716101,0,1,0,1,0,4/25/2021 21:00,16469
18,6,11,1,223,229,1777,49.25884124,0,0,1,0,1,11/6/2021 18:14,23143
14,6,5,1,229,235,1690,77.05192001,0,0,1,0,0,5/23/2020 14:36,4919
1,6,7,1,211,220,1759,57.30929669,0,0,0,1,1,7/31/2021 1:29,19763
20,7,8,2,222,227,1735,47.89884363,1,1,0,0,0,8/30/2020 20:40,8318
10,2,9,1,218,220,1659,66.1519141,1,0,1,0,1,9/6/2022 10:42,33543
16,3,10,1,226,229,1771,19.47389611,1,0,0,1,1,10/26/2022 16:06,35263
11,2,7,1,214,221,1674,22.45632075,1,0,1,1,1,7/26/2022 11:38,32106
10,5,8,2,226,234,1656,68.63662493,0,1,0,0,1,8/28/2020 10:30,8235
4,7,12,1,214,223,1612,37.82571867,0,0,0,0,1,12/18/2022 4:10,37061
1,4,9,2,234,234,1834,47.59813718,0,0,0,1,0,9/23/2021 1:17,21612
7,1,3,0,219,228,1531,62.84123639,1,0,1,1,0,3/30/2020 7:47,3060
22,2,10,1,220,221,1912,60.69587347,0,0,1,1,1,10/17/2023 22:02,47463
15,2,5,1,218,226,1922,39.65812303,0,0,1,0,1,5/4/2021 15:57,16770
11,5,3,0,229,230,1799,47.78956871,1,0,1,0,0,3/12/2021 11:46,14949
1,3,6,1,225,231,1923,36.13325307,1,0,1,0,1,6/2/2021 1:08,17742
7,4,10,0,226,232,1748,83.0917602,0,1,1,0,0,10/5/2023 7:16,47031
6,4,8,0,219,224,1705,25.22909645,1,0,1,0,0,8/12/2021 6:25,20181
18,6,9,2,221,227,1792,50.64166044,1,0,0,0,0,9/18/2021 18:58,21466
22,3,1,2,231,232,1711,69.91539274,0,0,0,0,0,1/15/2020 22:49,513
9,1,2,1,225,227,1843,87.55867774,1,0,1,0,1,2/17/2020 9:25,1624
2,1,12,1,231,238,1949,71.4828364,0,0,1,1,0,12/14/2020 2:24,11922
0,1,8,0,222,228,1934,80.34413241,1,1,1,1,1,8/10/2020 0:59,7605
1,4,11,1,237,239,1817,90.57777662,0,0,0,1,1,11/10/2022 1:36,35756
5,3,3,2,224,227,1994,69.98033508,1,1,0,1,0,3/23/2022 5:50,27817
14,2,6,2,228,236,1873,69.22876914,0,1,0,0,0,6/13/2023 14:18,43137
6,5,9,0,220,222,1812,38.83377635,0,1,1,1,0,9/29/2023 6:12,46824
19,2,5,1,232,235,1675,50.71949466,0,1,1,1,1,5/30/2023 19:31,42665
8,4,1,1,219,228,1888,36.81639338,0,1,1,1,1,1/28/2021 8:39,13472
8,6,4,2,222,226,1980,32.14589296,0,1,0,0,1,4/9/2022 8:31,28403
0,1,9,2,217,226,1790,48.6016468,1,0,0,0,0,9/14/2020 0:33,8803
10,4,3,0,226,226,1960,71.96537263,1,0,1,0,0,3/17/2022 10:22,27618
15,1,6,1,228,233,1868,75.76517976,0,1,1,0,1,6/22/2020 15:02,5947
14,2,4,2,231,233,1506,80.34812368,0,1,0,1,1,4/6/2021 14:28,15809
8,4,12,0,221,222,1990,49.20609988,1,1,1,1,0,12/2/2021 8:51,24020
22,1,5,0,235,237,1872,61.22344468,1,1,1,0,0,5/17/2021 22:07,17224
14,7,4,0,223,227,1979,64.07714461,0,1,1,1,0,4/18/2021 14:30,16220
23,2,11,0,213,220,1597,45.26649107,1,0,1,1,0,11/21/2023 23:42,48664
11,5,5,0,231,235,1804,12.08990526,0,1,1,0,0,5/1/2020 11:23,4161
2,5,9,0,226,227,1749,49.98879039,1,1,1,0,1,9/11/2020 2:29,8703
8,6,11,0,224,231,1637,17.00769418,1,0,1,1,0,11/12/2022 8:16,35834
19,6,8,1,236,239,1933,11.20200663,0,0,0,1,1,8/26/2023 19:04,45678
9,5,5,2,235,236,1778,63.89699111,1,1,0,1,1,5/7/2021 9:07,16863
23,5,7,1,231,233,1986,71.10860196,0,1,1,0,1,7/1/2022 23:39,31267
15,4,5,0,233,236,1627,37.24523762,1,1,1,1,0,5/7/2020 15:57,4373
10,4,5,1,228,232,1887,23.75717494,0,1,1,1,1,5/26/2022 10:55,30016
4,2,10,1,231,233,1922,53.7327873,0,1,1,1,1,10/6/2020 4:28,9562
21,2,1,1,236,236,1856,17.78924974,0,1,1,1,1,1/31/2023 21:06,38592
12,2,10,2,230,236,1946,51.00611275,0,1,0,1,0,10/27/2020 12:46,10293
9,1,7,2,234,237,1961,18.03757297,0,1,0,0,1,7/19/2021 9:51,19364
17,6,5,2,225,232,1608,30.39605956,1,1,0,0,0,5/15/2021 17:33,17149
23,1,2,0,227,227,1605,23.35852563,1,1,1,1,1,2/20/2023 23:58,39281
4,5,3,1,231,237,1992,30.14903661,0,1,1,1,1,3/13/2020 4:24,2473
22,4,3,0,223,227,1688,61.55567814,0,1,1,1,0,3/23/2023 22:08,40340
13,7,2,0,231,232,1909,71.20385713,0,1,1,1,0,2/5/2023 13:14,38752
17,3,2,2,229,229,1633,32.86600004,1,1,0,1,1,2/23/2022 17:40,26875
23,4,6,1,222,224,1710,97.10661306,0,0,0,1,1,6/25/2020 23:38,6062
15,2,10,0,216,222,1586,59.54009969,1,1,1,1,0,10/17/2023 15:43,47454
8,5,8,0,233,234,1954,65.60273597,1,1,1,1,0,8/19/2022 8:53,32924
19,7,10,0,212,220,1608,92.33611859,1,1,1,1,0,10/16/2022 19:13,34925
11,1,4,1,239,239,1747,69.83625769,0,0,0,0,1,4/25/2022 11:22,28955
19,6,6,0,222,229,1875,56.36958693,1,1,1,0,0,6/4/2022 19:11,30336
18,7,5,2,230,234,1590,36.28730193,1,0,0,1,0,5/9/2021 18:35,16945
0,7,7,2,223,227,1500,42.30579056,0,1,0,0,1,7/12/2020 0:22,6611
14,5,2,0,228,234,1628,26.49837956,0,1,1,0,0,2/11/2022 14:50,26460
12,1,1,0,235,236,1627,80.86848399,1,1,1,1,1,1/10/2022 12:38,25361
9,4,2,0,222,231,1896,87.50998628,1,1,1,1,1,2/18/2021 9:57,14193
14,7,4,1,217,223,1645,60.43986171,1,0,1,1,1,4/17/2022 14:08,28685
2,4,5,2,232,239,1753,21.46461005,0,0,0,0,0,5/12/2022 2:07,29524
20,3,12,2,222,222,1547,61.4445189,0,1,0,1,0,12/23/2020 20:28,12256
19,5,1,2,213,221,1935,40.74739067,1,1,0,1,0,1/24/2020 19:51,817
3,3,3,2,215,224,1643,59.2766516,1,1,0,1,0,3/10/2021 3:00,14868
6,3,11,2,228,233,1944,41.07425187,1,1,0,1,1,11/3/2021 6:08,23023
18,3,6,2,218,221,1862,49.75588267,0,0,0,1,0,6/23/2021 18:32,18486
22,1,3,1,233,238,1733,16.627145,0,0,1,1,1,3/28/2022 22:30,28012
2,7,5,1,220,226,1899,75.06356167,0,1,1,0,1,5/14/2023 2:39,42093
1,7,2,1,225,229,1579,24.52065518,0,1,1,1,1,2/16/2020 1:53,1579
10,7,6,1,218,220,1828,66.19610261,1,0,0,1,1,6/19/2022 10:18,30837
4,2,12,2,233,235,1691,82.87216593,1,1,0,1,1,12/29/2020 4:01,12438
5,5,9,2,230,233,1582,38.36502013,1,0,0,1,0,9/17/2021 5:49,21413
7,4,9,1,222,223,1563,39.55421724,0,0,1,0,1,9/22/2022 7:14,34086
9,1,6,1,216,221,1999,55.21268109,0,1,1,0,1,6/20/2022 9:25,30870
4,7,2,1,223,229,1512,69.01954356,1,0,0,0,1,2/16/2020 4:41,1583
4,5,7,1,222,229,1987,64.4669274,1,0,1,1,1,7/24/2020 4:37,7028
5,4,8,2,222,228,1764,40.39897221,0,1,0,0,1,8/12/2021 5:43,20180
13,6,10,2,225,227,1686,77.27831606,1,0,0,0,0,10/23/2021 13:38,22657
7,2,6,2,221,222,1815,31.29711772,1,0,0,0,0,6/30/2020 7:21,6210
7,2,12,0,221,228,1573,56.25506025,0,1,1,0,0,12/15/2020 7:08,11963
3,4,3,1,232,237,1805,37.47698382,0,0,1,1,0,3/18/2021 3:01,15142
12,3,8,1,221,230,1631,75.67300516,0,0,1,0,1,8/11/2021 12:54,20156
19,6,9,2,227,228,1690,24.06433437,1,1,0,0,0,9/4/2021 19:59,20988
3,2,3,1,225,228,1682,32.28000892,1,0,0,1,1,3/21/2023 3:33,40245
11,1,2,2,219,223,1731,19.62395216,1,1,0,1,0,2/24/2020 11:01,1866
14,2,9,2,218,225,1934,21.44432191,1,1,0,1,0,9/29/2020 14:05,9336
6,6,9,0,230,233,1552,66.48424172,1,0,1,0,0,9/9/2023 6:09,46139
13,1,11,1,226,226,1647,22.48763403,0,1,1,0,1,11/2/2020 13:08,10499
0,7,6,2,214,221,1867,15.6997083,1,1,0,0,0,6/12/2022 0:17,30583
14,7,9,2,217,222,1641,69.46287435,1,1,0,1,1,9/3/2023 14:53,45946
22,5,7,2,216,222,1587,68.41547458,0,1,0,1,1,7/8/2022 22:26,31505
10,1,11,2,228,229,1934,83.73409885,0,0,0,0,0,11/29/2021 10:04,23919
10,4,10,1,216,224,1508,72.50518936,0,0,0,1,1,10/14/2021 10:17,22344
18,1,7,0,224,224,1817,66.92808101,1,1,1,1,1,7/12/2021 18:04,19136
5,5,5,0,214,221,1599,52.51957991,1,1,1,0,0,5/29/2020 5:51,5112
10,5,7,1,231,236,1778,17.50112166,0,0,1,0,0,7/14/2023 10:22,44193
23,1,10,1,231,233,1581,57.78863763,0,1,1,0,1,10/2/2023 23:55,46952
12,2,7,1,220,224,1785,34.84619838,0,0,1,1,1,7/21/2020 12:50,6937
21,4,9,2,232,232,1727,81.16199642,1,1,0,0,0,9/15/2022 21:03,33866
15,6,6,2,228,233,1587,91.75600758,1,1,0,1,0,6/25/2022 15:34,31050
7,2,3,0,217,220,1840,91.21730199,0,1,1,0,0,3/16/2021 7:34,15080
20,5,7,2,232,236,1861,16.01380375,1,1,0,0,1,7/3/2020 20:51,6332
6,2,4,1,227,236,1542,95.63595548,0,0,1,0,0,4/27/2021 6:38,16517
4,4,1,1,234,236,1678,41.55564322,1,0,0,1,1,1/5/2023 4:34,37678
16,2,5,2,218,226,1985,68.10617401,0,1,0,1,0,5/25/2021 16:32,17490
13,3,6,2,221,225,1900,44.33410139,0,1,0,0,0,6/8/2022 13:35,30465
14,5,3,0,224,226,1737,12.93180061,1,1,1,1,0,3/5/2021 14:22,14713
8,3,4,1,234,234,1932,76.81006546,0,0,1,1,0,4/15/2020 8:32,3609
7,6,11,2,212,221,1535,62.78020832,0,1,0,1,1,11/19/2022 7:03,36072
16,4,10,1,220,221,1834,39.77738087,1,0,1,0,1,10/8/2020 16:45,9648
15,1,5,2,219,225,1519,51.7057704,0,0,0,1,0,5/4/2020 15:04,4269
7,6,8,1,219,222,1828,49.2441025,0,0,1,0,1,8/28/2021 7:10,20730
11,1,12,1,223,225,1795,48.774273,1,0,1,0,1,12/19/2022 11:00,37105
15,5,9,2,235,238,1901,45.77311885,0,1,0,1,1,9/9/2022 15:47,33653
12,5,5,0,230,235,1724,81.50686668,1,1,1,0,1,5/7/2021 12:37,16868
12,2,7,1,224,225,1506,53.54208253,1,0,0,1,1,7/7/2020 12:27,6457
21,1,6,2,217,226,1735,92.37588731,1,1,0,1,1,6/8/2020 21:39,5477
1,2,2,0,235,236,1501,84.11297765,1,0,1,0,0,2/14/2023 1:10,39043
16,4,8,0,233,233,1786,40.58747446,1,1,1,0,0,8/27/2020 16:58,8210
5,5,7,0,221,229,1981,43.04377347,1,1,1,1,1,7/22/2022 5:18,31960
11,7,7,2,234,234,1985,90.10730038,0,0,0,0,0,7/3/2022 11:23,31318
0,6,3,1,229,237,1641,63.72841675,0,1,1,0,1,3/27/2021 0:04,15446
22,6,8,0,231,233,1658,63.36898949,1,0,1,0,0,8/27/2022 22:56,33218
22,3,10,2,213,221,1820,24.4876108,1,1,0,1,0,10/27/2021 22:45,22807
23,2,10,2,229,230,1853,84.05501274,0,1,0,1,1,10/3/2023 23:02,46985
18,3,6,2,228,232,1743,97.30671092,1,0,0,1,0,6/30/2021 18:44,18726
14,7,10,0,229,235,1924,97.5845278,1,1,1,1,1,10/1/2023 14:16,46904
2,6,7,0,222,231,1583,45.86564972,1,1,1,0,0,7/10/2021 2:18,19045
10,5,8,0,216,223,1835,69.56293949,1,0,1,0,0,8/26/2022 10:29,33166
7,1,7,1,218,223,1560,40.45453299,0,0,1,0,1,7/31/2023 7:26,44771
17,2,7,2,223,229,1616,52.19069413,1,0,0,1,0,7/20/2021 17:23,19409
20,6,9,0,230,231,1957,19.04813209,0,1,1,1,0,9/24/2022 20:12,34173
7,4,12,1,221,223,1895,93.77268249,0,0,0,1,1,12/30/2021 7:31,24977
12,7,7,2,220,225,1579,10.54592007,1,0,0,1,0,7/4/2021 12:26,18854
5,7,6,2,235,235,1776,16.46782479,0,1,0,1,1,6/20/2021 5:02,18364
23,6,9,0,234,234,1978,38.22954646,1,1,1,0,1,9/9/2023 23:40,46164
3,7,11,1,216,223,1719,76.74599395,1,0,0,0,1,11/7/2021 3:20,23156
11,7,5,0,232,233,1951,27.15466791,0,1,1,0,0,5/9/2021 11:35,16935
6,2,9,1,225,234,1944,17.59965449,1,0,0,0,1,9/15/2020 6:41,8846
9,7,3,1,223,230,1860,62.08581139,1,0,1,0,1,3/22/2020 9:10,2788
2,1,4,1,225,225,1538,82.31537248,0,0,1,1,1,4/18/2022 2:03,28702
1,7,6,1,226,230,1724,71.61232706,0,0,1,1,0,6/11/2023 1:20,43050
2,6,4,0,216,221,1724,13.69381066,1,0,1,1,0,4/15/2023 2:45,41100
10,5,10,1,233,236,1877,62.408875,0,1,1,0,1,10/20/2023 10:18,47549
0,5,5,1,219,223,1807,40.1213708,1,0,1,1,1,5/20/2022 0:45,29796
17,7,6,1,221,221,1736,74.10016433,0,0,1,0,1,6/19/2022 17:18,30847
9,3,9,1,226,227,1617,74.0266625,0,0,1,1,1,9/1/2021 9:59,20871
23,4,7,2,219,227,1848,96.62142545,0,0,0,1,0,7/1/2021 23:28,18767
9,5,9,0,215,223,1618,26.41014922,1,1,1,1,1,9/2/2022 9:59,33405
8,1,10,0,225,233,1889,15.17713859,1,1,1,1,0,10/26/2020 8:02,10252
19,2,1,2,228,232,1710,26.48328137,0,1,0,1,0,1/26/2021 19:31,13419
4,7,4,1,223,231,1904,59.70134519,1,0,0,0,1,4/10/2022 4:08,28431
3,5,2,2,232,235,1732,87.873455,0,1,0,1,1,2/14/2020 3:37,1513
22,3,6,2,229,233,1572,39.21331516,0,1,0,0,0,6/15/2022 22:12,30717
18,6,11,1,223,232,1925,54.28525412,1,0,1,1,1,11/25/2023 18:49,48794
0,2,5,2,225,229,1509,14.85945031,1,1,0,0,0,5/11/2021 0:43,16988
14,3,5,0,224,233,1878,13.62290967,1,0,1,0,0,5/11/2022 14:13,29507
12,7,9,2,212,220,1511,25.21067045,1,0,0,0,0,9/20/2020 12:50,9026
20,7,1,0,235,239,1592,12.51741858,1,1,1,1,0,1/9/2022 20:31,25338
2,5,4,1,227,231,1908,49.0279593,1,0,1,1,1,4/14/2023 2:55,41066
2,1,2,0,216,224,1521,32.37828226,1,0,1,1,0,2/7/2022 2:12,26305
18,7,3,0,230,231,1691,68.92146564,1,0,1,1,0,3/8/2020 18:35,2322
21,1,5,0,220,227,1761,37.19801722,1,0,1,1,0,5/2/2022 21:22,29209
10,3,9,2,228,229,1980,52.68032179,1,0,0,1,0,9/14/2022 10:43,33817
4,6,4,1,229,238,1930,46.24304735,0,0,0,1,1,4/29/2023 4:32,41582
11,5,10,2,215,224,1681,28.46026235,0,1,0,0,0,10/13/2023 11:30,47311
17,3,12,2,237,237,1928,10.49755977,0,1,0,0,1,12/22/2021 17:19,24717
23,3,12,0,227,233,1665,33.07892955,1,0,1,0,0,12/30/2020 23:28,12500
10,7,11,1,237,239,1882,63.81912901,0,1,1,0,1,11/22/2020 10:23,11180
0,4,12,2,234,234,1697,65.3695776,1,0,0,0,0,12/16/2021 0:49,24488
13,1,2,2,228,233,1952,61.94988234,0,1,0,0,0,2/1/2021 13:34,13616
7,3,11,0,216,223,1655,28.51347137,0,1,1,1,0,11/22/2023 7:25,48675
21,1,3,0,228,237,1959,29.10287087,1,0,1,0,0,3/9/2020 21:55,2361
11,4,7,2,234,234,1781,74.81914599,1,1,0,0,1,7/8/2021 11:45,18990
21,4,8,2,228,236,1854,35.34409227,0,1,0,0,1,8/25/2022 21:52,33148
11,2,4,2,227,235,1588,46.65963108,1,0,0,0,0,4/26/2022 11:11,28989
4,1,11,1,229,238,1568,59.92595561,0,0,0,0,1,11/22/2021 4:58,23672
23,4,2,1,216,225,1923,51.49678139,0,0,1,0,1,2/16/2023 23:57,39144
19,2,8,2,215,222,1855,31.85423429,1,0,0,1,0,8/31/2021 19:16,20850
17,6,9,1,230,237,1926,56.73455858,1,0,1,1,1,9/10/2022 17:43,33690
8,2,7,1,214,221,1592,47.68610527,1,0,1,1,1,7/7/2020 8:57,6452
15,3,8,2,230,239,1549,59.41626047,0,1,0,1,1,8/18/2021 15:54,20400
0,3,5,1,234,237,1811,35.78968444,1,0,0,0,1,5/18/2022 0:23,29727
21,6,2,2,230,236,1546,24.70801878,0,1,0,1,1,2/1/2020 21:59,1094
11,3,10,0,233,237,1639,16.47858576,1,0,1,1,0,10/11/2023 11:09,47242
18,3,12,2,224,230,1614,81.58813873,0,1,0,0,0,12/22/2021 18:01,24718
11,4,7,0,229,233,1760,21.43048462,1,0,1,1,0,7/6/2023 11:03,43920
14,1,7,0,220,229,1912,65.69586033,1,0,1,0,0,7/3/2023 14:22,43822
9,3,10,0,223,230,1722,26.87708289,1,1,1,0,0,10/11/2023 9:03,47239
5,4,2,1,234,236,1769,45.43658507,1,0,1,0,1,2/25/2021 5:14,14426
10,2,3,2,216,225,1692,91.5752629,1,1,0,0,1,3/10/2020 10:32,2379
13,4,7,2,230,238,1623,42.85295245,1,0,0,0,0,7/2/2020 13:19,6287
4,7,6,0,231,232,1835,13.67411394,0,1,1,1,0,6/28/2020 4:53,6138
12,4,10,0,227,233,1628,18.19711354,0,1,1,0,0,10/8/2020 12:32,9642
3,6,4,1,228,235,1719,59.78245154,0,0,1,0,1,4/1/2023 3:03,40621
17,6,10,1,234,239,1693,33.4545007,1,0,0,0,1,10/21/2023 17:08,47593
23,3,10,1,218,222,1571,92.50632837,0,1,1,0,1,10/27/2021 23:27,22808
23,6,7,1,231,233,1529,69.76590145,1,0,1,1,1,7/29/2023 23:54,44726
14,7,9,1,234,234,1944,87.55010647,0,0,1,0,1,9/11/2022 14:02,33719
8,4,3,0,230,236,1808,17.93182011,1,1,1,1,0,3/23/2023 8:49,40321
16,6,4,2,214,221,1509,88.41050967,0,1,0,1,1,4/30/2022 16:06,29133
3,6,1,1,232,238,1616,62.04106894,1,0,0,1,1,1/14/2023 3:01,37984
21,3,4,1,232,239,1585,38.70072421,0,1,1,1,1,4/13/2022 21:08,28558
21,1,9,1,221,221,1590,25.01084093,1,0,0,1,1,9/12/2022 21:35,33764
10,6,12,2,224,228,1630,82.69277402,1,1,0,0,0,12/5/2020 10:15,11625
22,3,12,1,227,230,1730,65.62881501,1,0,1,1,1,12/7/2022 22:52,36711
8,1,6,2,226,230,1727,25.51650174,0,1,0,1,0,6/5/2023 8:41,42855
1,7,11,2,219,226,1906,82.40842639,0,1,0,1,0,11/27/2022 1:28,36338
22,4,1,0,216,222,1917,74.90647571,1,0,1,1,0,1/5/2023 22:05,37703
5,3,9,2,233,238,1823,68.4524872,1,1,0,0,1,9/28/2022 5:30,34289
9,6,4,0,224,233,1846,15.41687571,1,1,1,0,1,4/24/2021 9:15,16418
2,2,4,1,230,234,1838,56.82836842,0,0,1,1,1,4/18/2023 2:14,41202
17,7,4,2,221,221,1941,65.55980144,0,0,0,1,0,4/30/2023 17:41,41635
13,3,4,2,223,227,1691,89.0153462,1,1,0,0,0,4/8/2020 13:56,3377
23,6,8,2,216,225,1624,54.73410208,0,1,0,1,1,8/29/2020 23:38,8288
14,2,11,2,217,221,1923,51.03209893,1,0,0,1,0,11/28/2023 14:47,48891
17,5,1,0,213,220,1684,47.85312926,1,1,1,1,1,1/3/2020 17:52,95
0,1,11,1,223,228,1651,38.75343098,0,0,1,0,0,11/8/2021 0:22,23186
0,2,12,1,223,223,1824,86.47225642,0,0,1,0,1,12/29/2020 0:31,12433
17,7,10,2,228,232,1914,93.33062067,1,1,0,0,0,10/18/2020 17:49,9992
23,5,5,1,224,229,1959,24.09596551,1,0,0,0,1,5/29/2020 23:22,5137
17,7,5,2,222,222,1891,97.16334928,0,1,0,0,1,5/22/2022 17:13,29888
20,3,12,1,224,224,1711,46.67244483,1,0,1,0,1,12/1/2021 20:14,24002
9,7,4,2,225,231,1978,56.03169481,1,0,0,0,0,4/4/2021 9:54,15734
8,1,4,2,238,239,1993,96.78318955,0,1,0,0,0,4/3/2023 8:19,40697
3,3,2,1,221,225,1871,76.04470564,1,0,0,0,1,2/23/2022 3:39,26855
17,1,9,1,226,231,1550,41.94154911,1,0,1,0,1,9/21/2020 17:34,9067
23,6,11,1,213,220,1788,35.91551625,1,0,1,0,1,11/14/2020 23:41,10925
18,6,4,1,223,224,1976,74.741111,0,0,0,0,1,4/17/2021 18:10,16191
18,1,8,2,211,220,1775,58.43022159,1,0,0,1,0,8/24/2020 18:54,8110
8,3,9,1,219,228,1616,94.98332158,0,1,1,0,1,9/21/2022 8:07,34053
11,5,8,2,216,220,1820,84.85101485,1,1,0,1,1,8/27/2021 11:33,20702
19,5,10,2,231,235,1682,76.30299579,0,1,0,1,0,10/13/2023 19:55,47323
10,3,2,1,237,239,1622,26.5982466,0,0,1,1,1,2/12/2020 10:16,1454
7,1,9,0,215,224,1674,12.80991362,0,1,1,0,0,9/14/2020 7:34,8813
7,3,11,0,221,224,1556,16.65071811,1,0,1,0,0,11/17/2021 7:55,23505
20,4,4,2,228,234,1854,47.92543296,1,1,0,1,0,4/21/2022 20:28,28831
8,7,11,2,224,232,1645,25.1708777,1,1,0,1,1,11/20/2022 8:17,36108
3,1,12,2,228,236,1590,61.64047551,1,1,0,1,1,12/26/2022 3:29,37334
14,6,3,1,234,237,1582,26.34095446,0,0,0,1,1,3/25/2023 14:47,40398
21,2,4,2,218,226,1624,64.77455888,1,1,0,0,0,4/11/2023 21:39,40990
17,4,6,1,227,234,1946,22.92077457,0,0,0,1,1,6/4/2020 17:26,5334
2,3,5,2,234,236,1750,73.33768786,1,1,0,1,0,5/6/2020 2:06,4319
23,4,5,2,224,229,1701,25.12645084,1,1,0,0,0,5/20/2021 23:42,17329
18,5,10,0,233,237,1944,69.13539479,1,0,1,1,0,10/22/2021 18:01,22629
4,1,1,1,234,234,1563,79.87448067,1,0,1,0,1,1/10/2022 4:56,25350
23,7,11,2,237,239,1612,42.10209069,1,1,0,0,0,11/20/2022 23:42,36130
13,7,5,1,216,221,1606,16.32432479,0,1,1,1,1,5/3/2020 13:08,4232
8,5,4,2,230,238,1953,46.98405989,0,1,0,1,1,4/22/2022 8:22,28848
11,6,3,2,222,229,1738,60.71587337,1,0,0,1,0,3/14/2020 11:14,2517
9,1,9,2,226,227,1540,64.75572,0,0,0,1,0,9/12/2022 9:40,33747
13,6,1,2,234,236,1733,17.19113532,1,1,0,0,0,1/23/2021 13:01,13307
2,2,3,2,227,235,1522,69.49136509,0,1,0,1,0,3/31/2020 2:00,3086
6,6,3,1,230,234,1769,73.9432461,0,0,0,0,1,3/25/2023 6:22,40386
12,2,2,2,231,232,1840,70.04728222,0,0,0,1,0,2/1/2022 12:21,26114
6,3,2,2,231,231,1738,45.01720931,1,1,0,0,1,2/24/2021 6:48,14394
7,2,6,1,227,227,1716,31.0855407,1,0,0,1,1,6/28/2022 7:20,31141
12,7,2,2,238,238,1731,25.38945817,1,0,0,1,0,2/27/2022 12:46,27005
7,3,8,1,223,223,1703,31.69931349,0,0,1,1,1,8/12/2020 7:39,7683
20,6,9,0,218,224,1630,25.23807722,1,1,1,0,0,9/17/2022 20:01,33933
8,5,3,2,235,235,1651,55.57723781,0,0,0,1,0,3/17/2023 8:27,40115
18,7,3,2,230,231,1568,70.85349912,1,0,0,1,0,3/13/2022 18:46,27493
0,1,11,1,230,235,1592,61.76253303,0,1,1,1,1,11/27/2023 0:15,48836
2,7,2,0,228,230,1924,76.29734991,0,1,1,0,0,2/27/2022 2:58,26991
3,6,7,1,232,232,1569,53.07375952,0,1,1,0,1,7/18/2020 3:33,6821
4,3,5,0,215,221,1948,26.1939945,0,1,1,0,0,5/5/2021 4:33,16788
7,3,9,2,221,226,1874,61.05571412,1,0,0,1,0,9/30/2020 7:37,9361
7,5,1,1,220,221,1775,21.74904413,1,0,0,0,1,1/27/2023 7:05,38435
21,1,8,0,214,220,1773,92.95111405,1,1,1,1,0,8/31/2020 21:53,8354
17,2,9,1,214,221,1615,20.34199314,0,1,1,0,1,9/6/2022 17:00,33552
4,2,4,2,214,220,1674,52.42917838,0,0,0,0,0,4/11/2023 4:08,40965
21,7,12,0,225,231,1560,81.01759974,1,1,1,0,0,12/12/2021 21:08,24380
17,5,11,1,225,234,1506,88.61511934,0,0,1,0,0,11/10/2023 17:11,48278
3,2,2,0,228,232,1774,12.77547455,0,1,1,0,0,2/14/2023 3:16,39046
19,7,3,2,221,223,1736,21.7763912,1,1,0,0,1,3/20/2022 19:40,27734
2,1,5,0,226,228,1648,40.71816871,1,0,1,0,0,5/8/2023 2:59,41888
5,2,8,1,229,231,1727,48.39304535,0,0,1,0,1,8/4/2020 5:31,7406
15,5,5,1,233,233,1644,13.95753729,0,1,1,0,1,5/28/2021 15:19,17591
9,7,4,1,229,234,1536,74.20231502,1,0,0,1,1,4/16/2023 9:35,41144
0,2,12,0,222,229,1837,63.8673533,1,1,1,1,1,12/8/2020 0:38,11714
13,4,5,1,235,236,1507,90.58382711,0,0,0,1,1,5/7/2020 13:09,4369
8,3,5,0,227,234,1741,14.45315746,1,1,1,0,1,5/19/2021 8:27,17273
9,6,8,0,234,234,1830,41.08218552,1,0,1,0,0,8/22/2020 9:26,8028
22,3,9,0,223,225,1837,66.39612715,1,1,1,1,1,9/6/2023 22:05,46059
7,3,10,1,229,236,1651,52.89328678,1,0,0,0,1,10/13/2021 7:39,22306
17,2,5,0,226,228,1688,88.05586264,1,0,1,0,0,5/26/2020 17:35,5026
18,7,3,2,221,230,1625,66.28327078,1,1,0,0,1,3/22/2020 18:16,2801
16,1,10,1,217,226,1536,53.41656419,0,1,1,0,1,10/10/2022 16:45,34716
